MuvBox;;;;;;
time;acc_y;acc_y-g;(acc_y-g)^2;média accy^2;rms;Velocidade
202.461131;1.030273438;0.037156111;0.001380577;;;-0.000660083
202.462181;1.039550781;0.046433455;0.002156066;;;-0.000229576
202.463248;0.970703125;-0.022414201;0.000502396;;;-0.000103868
202.464281;1.002441406;0.00932408;8.69385E-05;;;-0.000170194
202.465331;1.006347656;0.01323033;0.000175042;;;-5.40332E-05
202.466381;0.940917969;-0.052199358;0.002724773;;;-0.000254733
202.467431;0.929199219;-0.063918108;0.004085524;;;-0.000852767
202.468481;1.009765625;0.016648299;0.000277166;;;-0.001096219
202.469531;0.956542969;-0.036574358;0.001337684;;;-0.001198843
202.470581;1.030273438;0.037156111;0.001380577;;;-0.001195847
202.47164;1.06640625;0.073288924;0.005371266;;;-0.000622152
202.472684;0.978515625;-0.014601701;0.00021321;;;-0.000321625
202.475482;1.05078125;0.057663924;0.003325128;;;0.000269369
202.475893;0.98828125;-0.004836076;2.33876E-05;;;0.000375868
202.4769;1.012207031;0.019089705;0.000364417;;;0.000446271
202.478184;1.067382813;0.074265486;0.005515362;;;0.001034224
202.47951;0.935058594;-0.058058733;0.003370816;;;0.001139633
202.480034;0.9765625;-0.016554826;0.000274062;;;0.00094786
202.481316;0.988769531;-0.004347795;1.89033E-05;;;0.00081642
202.482151;0.991699219;-0.001418108;2.01103E-06;;;0.000792805
202.483181;0.954101563;-0.039015764;0.00152223;;;0.000588527
202.484231;0.995605469;0.002488142;6.19085E-06;;;0.0004004
202.485688;1.061035156;0.06791783;0.004612832;;;0.000903563
202.486351;0.948730469;-0.044386858;0.001970193;;;0.000980086
202.487381;0.987792969;-0.005324358;2.83488E-05;;;0.000728937
202.488549;1.025878906;0.03276158;0.001073321;;;0.000886126
202.489654;0.984863281;-0.008254045;6.81293E-05;;;0.001018958
202.490559;0.987792969;-0.005324358;2.83488E-05;;;0.000958683
202.491581;1.021972656;0.02885533;0.00083263;;;0.001076641
202.49264;1.045410156;0.05229283;0.00273454;;;0.001498157
202.493684;1.020019531;0.026902205;0.000723729;;;0.0019037
202.49486;0.996582031;0.003464705;1.20042E-05;;;0.002078865
202.495792;1.020507813;0.027390486;0.000750239;;;0.002219919
202.496835;0.998535156;0.00541783;2.93529E-05;;;0.002387763
202.497899;0.999511719;0.006394392;4.08883E-05;;;0.00244941
202.498946;0.992675781;-0.000441545;1.94962E-07;;;0.002479981
202.499997;0.999023438;0.005906111;3.48821E-05;;;0.002508152
202.501034;0.959960938;-0.033156389;0.001099346;;;0.002369544
202.502081;1.025390625;0.032273299;0.001041566;;;0.002365009
202.503131;1.005371094;0.012253767;0.000150155;;;0.002594334
202.504181;0.979003906;-0.01411342;0.000199189;;;0.002584756
202.505231;1.047363281;0.054245955;0.002942624;;;0.002791449
202.506281;0.955078125;-0.038039201;0.001446981;;;0.002874918
202.507331;0.874023438;-0.119093889;0.014183354;;;0.002065643
202.508381;0.973632813;-0.019484514;0.000379646;;;0.00135193
202.509431;0.939453125;-0.053664201;0.002879847;;;0.000975196
202.510481;0.883300781;-0.109816545;0.012059674;;;0.000133229
202.511531;0.944335938;-0.048781389;0.002379624;;;-0.00068359
202.512581;0.940917969;-0.052199358;0.002724773;;;-0.001203666
202.51364;1.018066406;0.02494908;0.000622457;;;-0.001345215
202.514684;1.042480469;0.049363142;0.00243672;;;-0.000964675
202.515747;0.937988281;-0.055129045;0.003039212;;;-0.000994739
202.516792;0.995605469;0.002488142;6.19085E-06;;;-0.001264562
202.517835;1.041992188;0.048874861;0.002388752;;;-0.001001793
202.518899;0.990234375;-0.002882951;8.31141E-06;;;-0.000761765
202.519946;0.98828125;-0.004836076;2.33876E-05;;;-0.000801406
202.520998;0.995117188;0.001999861;3.99944E-06;;;-0.000816041
202.522034;1.020507813;0.027390486;0.000750239;;;-0.000666692
202.523081;1.015625;0.022507674;0.000506595;;;-0.000410438
202.524131;0.99609375;0.002976424;8.8591E-06;;;-0.000279189
202.525181;1.044921875;0.051804549;0.002683711;;;2.94707E-06
202.526251;1.032226563;0.039109236;0.001529532;;;0.000480094
202.527545;0.993652344;0.000535017;2.86244E-07;;;0.000731719
202.528331;1.011230469;0.018113142;0.000328086;;;0.000803614
202.529381;1.020507813;0.027390486;0.000750239;;;0.001037969
202.530431;0.991699219;-0.001418108;2.01103E-06;;;0.001171733
202.531544;0.992675781;-0.000441545;1.94962E-07;;;0.001161581
202.532531;0.978027344;-0.015089983;0.000227708;;;0.001086389
202.533581;1.040039063;0.046921736;0.002201649;;;0.001250331
202.53464;1.011230469;0.018113142;0.000328086;;;0.001588148
202.535952;0.967773438;-0.025343889;0.000642313;;;0.001541615
202.536747;1.034179688;0.041062361;0.001686117;;;0.001602909
202.537792;1.001464844;0.008347517;6.9681E-05;;;0.00185617
202.538835;0.982910156;-0.01020717;0.000104186;;;0.001846657
202.539899;1.020507813;0.027390486;0.000750239;;;0.001936335
202.540946;0.979980469;-0.013136858;0.000172577;;;0.002009535
202.541997;0.985839844;-0.007277483;5.29618E-05;;;0.001904296
202.543034;1.047851563;0.054734236;0.002995837;;;0.002145684
202.544081;1.016113281;0.022995955;0.000528814;;;0.00254487
202.545131;1.049804688;0.056687361;0.003213457;;;0.002955259
202.546181;1.034667969;0.041550642;0.001726456;;;0.003461209
202.547231;0.943359375;-0.049757951;0.002475854;;;0.00341894
202.548281;1.009765625;0.016648299;0.000277166;;;0.003248417
202.549331;0.998046875;0.004929549;2.43004E-05;;;0.003359548
202.550381;0.912109375;-0.081007951;0.006562288;;;0.002967725
202.551431;0.956054688;-0.037062639;0.001373639;;;0.002359632
202.552481;0.963867188;-0.029250139;0.000855571;;;0.002018105
202.553531;0.951660156;-0.04145717;0.001718697;;;0.001653944
202.554581;0.952148438;-0.040968889;0.00167845;;;0.00122943
202.55564;0.906738281;-0.086379045;0.007461339;;;0.000567934
202.556684;0.918457031;-0.074660295;0.00557416;;;-0.000256719
202.558012;0.958496094;-0.034621233;0.00119863;;;-0.000968562
202.558799;0.917480469;-0.075636858;0.005720934;;;-0.001394184
202.559839;0.975585938;-0.017531389;0.00030735;;;-0.001869454
202.560899;0.952636719;-0.040480608;0.00163868;;;-0.002171076
202.561946;0.986816406;-0.00630092;3.97016E-05;;;-0.002411324
202.562998;1.032226563;0.039109236;0.001529532;;;-0.002242031
202.564034;0.982421875;-0.010695451;0.000114393;;;-0.002097644
202.565081;0.959472656;-0.03364467;0.001131964;;;-0.002325354
202.566131;1.040039063;0.046921736;0.002201649;;;-0.002256974
202.567181;0.978027344;-0.015089983;0.000227708;;;-0.002093032
202.568231;0.980957031;-0.012160295;0.000147873;;;-0.002233378
202.569281;0.98828125;-0.004836076;2.33876E-05;;;-0.002320914
202.570331;1.006347656;0.01323033;0.000175042;;;-0.002277681
202.571381;0.99609375;0.002976424;8.8591E-06;;;-0.002194212
202.572431;0.986328125;-0.006789201;4.60933E-05;;;-0.002213849
202.573555;0.975097656;-0.01801967;0.000324709;;;-0.002350626
202.574531;1.025390625;0.032273299;0.001041566;;;-0.00228239
202.575581;0.9765625;-0.016554826;0.000274062;;;-0.002201436
202.577966;1.015136719;0.022019392;0.000484854;;;-0.002137509
202.578983;0.981933594;-0.011183733;0.000125076;;;-0.002083457
202.579792;1.022460938;0.029343611;0.000861048;;;-0.002011396
202.580835;1.012207031;0.019089705;0.000364417;;;-0.001763615
202.581931;0.966796875;-0.026320451;0.000692766;;;-0.001802486
202.582946;1.047363281;0.054245955;0.002942624;;;-0.001663457
202.583997;0.999511719;0.006394392;4.08883E-05;;;-0.001350847
202.585034;0.907714844;-0.085402483;0.007293584;;;-0.00175272
202.586081;1.017578125;0.024460799;0.000598331;;;-0.002065688
202.587131;1.037597656;0.04448033;0.0019785;;;-0.001710624
202.588181;0.99609375;0.002976424;8.8591E-06;;;-0.00146621
202.589231;1.038574219;0.045456892;0.002066329;;;-0.001216767
202.590281;1.055175781;0.062058455;0.003851252;;;-0.000663036
202.591331;1.022460938;0.029343611;0.000861048;;;-0.000192292
202.592381;1.063476563;0.070359236;0.004950422;;;0.000321202
202.593431;0.98828125;-0.004836076;2.33876E-05;;;0.000658663
202.594481;0.98046875;-0.012648576;0.000159986;;;0.000568613
202.595531;1.048339844;0.055222517;0.003049526;;;0.000787879
202.596581;0.984375;-0.008742326;7.64283E-05;;;0.001027264
202.59764;0.96484375;-0.028273576;0.000799395;;;0.000834989
202.598684;0.955078125;-0.038039201;0.001446981;;;0.000495413
202.599747;0.966308594;-0.026808733;0.000718708;;;0.000157295
202.600792;0.999511719;0.006394392;4.08883E-05;;;5.26564E-05
202.601835;0.947265625;-0.045851701;0.002102379;;;-0.000149204
202.603009;1.015136719;0.022019392;0.000484854;;;-0.000286441
202.603946;0.976074219;-0.017043108;0.000290468;;;-0.000263571
202.604998;0.923339844;-0.069777483;0.004868897;;;-0.00071157
202.606034;0.983886719;-0.009230608;8.52041E-05;;;-0.001113056
202.607081;1.003417969;0.010300642;0.000106103;;;-0.001107561
202.608131;0.956054688;-0.037062639;0.001373639;;;-0.001245392
202.609181;0.996582031;0.003464705;1.20042E-05;;;-0.001418429
202.610231;1.022949219;0.029831892;0.000889942;;;-0.001246944
202.611281;1.030761719;0.037644392;0.0014171;;;-0.000899424
202.612331;1.011230469;0.018113142;0.000328086;;;-0.000612259
202.613381;0.988769531;-0.004347795;1.89033E-05;;;-0.000541364
202.614431;1.034667969;0.041550642;0.001726456;;;-0.00034976
202.615481;0.971191406;-0.02192592;0.000480746;;;-0.000248688
202.616531;0.993652344;0.000535017;2.86244E-07;;;-0.000358856
202.617581;1.025878906;0.03276158;0.001073321;;;-0.00018737
202.61864;0.967285156;-0.02583217;0.000667301;;;-0.000151376
202.619684;1.01171875;0.018601424;0.000346013;;;-0.000188403
202.620747;1.026367188;0.033249861;0.001105553;;;8.19499E-05
